ID,Name,Gender,Start_Date,End_Date,Reason_for_Tenure_End,Days_in_Office,Acting,Date_of_Birth,Year_of_Death,Degrees_Earned,Political_Affiliation,Married,Lok_Sabha,Rajya_Sabha,MLA,MLC,Governor,Union_Cabinet,State_Cabinet,Source_Socio,Mercy_Accepted,Mercy_Rejected,Mercy_Disposed,Ordinances,President_Rule
PRES001,Dr. Rajendra Prasad,M,1950-01-26,1962-05-13,End of term,4490,FALSE,1884-12-03,1963,Ph.D,INC,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://siwan.nic.in/dr-rajendra-prasad/,180,1,181,94,0
PRES002,Dr. Sarvepalli Radhakrishnan,M,1962-05-13,1967-05-13,End of term,1826,FALSE,1888-09-05,1975,Ph.D,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://rajyasabha.nic.in/rsnew/picture_gallery/dr_radhakrhishnan_1.asp,57,0,57,33,2
PRES003,Dr. Zakir Husain,M,1967-05-13,1969-05-03,Death,721,FALSE,1987-02-08,1969,Ph.D,FALSE,NA,FALSE,TRUE,FALSE,FALSE,347,FALSE,FALSE,https://rajyasabha.nic.in/rsnew/picture_gallery/dr_z_husain_3.asp | https://www.jmi.ac.in/aboutjamia/profile/history/Past_Vice_Chancellors_Profile-16/Dr_Zakir_Husain-2157,22,0,22,20,2
PRES004,Shri Varahagiri Venkata Giri,M,1969-05-03,1969-07-20,End of term,78,TRUE,1894-08-10,1980,BA LLB,INC,NA,TRUE,FALSE,TRUE,FALSE,114,TRUE,TRUE,https://rajyasabha.nic.in/rsnew/picture_gallery/v_v_gri_4.asp,NA,NA,0,6,0
PRES005,Justice Mohammad Hidayatullah,M,1969-07-20,1969-08-24,End of term,35,TRUE,1905-12-17,1992,BA LLB,INC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://web.archive.org/web/20140728063226/http://vicepresidentofindia.nic.in/hiday.asp,NA,NA,0,0,0
PRES004,Shri Varahagiri Venkata Giri,M,1969-08-24,1974-08-24,End of term,1826,FALSE,1894-08-10,1980,BA LLB,INC,NA,TRUE,FALSE,TRUE,FALSE,114,TRUE,TRUE,https://rajyasabha.nic.in/rsnew/picture_gallery/v_v_gri_4.asp,3,0,3,53,10
PRES006,Dr. Fakhruddin Ali Ahmed,M,1974-08-24,1977-02-11,Death,902,FALSE,1905-05-13,1977,LLB,INC,NA,Assam-5-6-0-1,FALSE,Assam-3-51-0-1,FALSE,FALSE,TRUE,TRUE,https://web.archive.org/web/20170729054858/http://www.rrtd.nic.in/fakhruddinaliahmed.htm,0,0,0,57,5
PRES007,B.D. Jatti,M,1977-02-11,1977-07-25,End of term,164,TRUE,1912-09-10,2002,LLB,INC,NA,FALSE,FALSE,Mysore-2-26-0-1,FALSE,317,FALSE,TRUE,https://doj.gov.in/about-us/minister/former-minister/sh-bdjatti,NA,NA,0,2,7
PRES008,Shri Neelam Sanjiva Reddy,M,1977-07-25,1982-07-25,End of term,1826,FALSE,1913-05-19,1996,None,INC,TRUE,Andhra_Pradesh-5-25-0-2,TRUE,Andhra_Pradesh-3-185-0-1,FALSE,FALSE,TRUE,TRUE,https://speakerloksabha.nic.in/former/Nsanjivareddy.asp,0,0,0,57,15
PRES009,Giani Zail Singh,M,1982-07-25,1987-07-25,End of term,1826,FALSE,1916-05-05,1994,None,INC,TRUE,Punjab-7-6-0-1,TRUE,Punjab-3-76-0-1,FALSE,FALSE,TRUE,TRUE,https://rajyasabha.nic.in/rsnew/pre_member/1952_2003/s.pdf,2,30,32,46,2
PRES010,Shri R Venkataraman,M,1987-07-25,1992-07-25,End of term,1827,FALSE,1910-12-04,2009,Ph.D,INC,TRUE,Tamil_Nadu-6-3-0-1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,https://vicepresidentofindia.nic.in/former-vice-president/sh-r-venkataraman,5,45,50,45,11
PRES011,Dr Shankar Dayal Sharma,M,1992-07-25,1997-07-25,End of term,1826,FALSE,1918-08-19,1999,Ph.D,INC,TRUE,Madhya_Pradesh-7-30-0-1,FALSE,Madhya_Pradesh-3-214-0-1,FALSE,250,TRUE,TRUE,https://rajyasabha.nic.in/rsnew/picture_gallery/sdsharma_9.asp,0,18,18,120,6
